Species,Beak.Length_Culmen,Beak.Width,Wing.Length,Mass,Mppersp,Habitat,Trophic.Niche,Migration
Accipiter nisus,19.6,8.4,207.4,220.8,,Forest,Vertivore,2
Accipiter gentilis,33.7,11.6,337.6,866,,Forest,Vertivore,2
Rallus crepitans,64.7,3.8,148,306,7.2,Wetland,Aquatic predator,2
Ammospiza maritima,16.3,4.2,60.6,22.2,2.7,Wetland,Invertivore,2
Alcedo atthis,42.2,5.7,73.3,31.1,,Reverine,Aquatic predator,1
Buteo buteo,35.9,12.6,382.9,759.1,17,Grassland,Vertivore,2
Milvus migrans,40,13,457.4,734.1,4,Woodland,Omnivore,3
Falco tinnunculus,20.8,10.6,241,183.2,21,Shrubland,Vertivore,3
Hierococcyx sparverioides,30.3,7.8,235,151,11,Woodland,Invertivore,3
Bubulcus ibis,63.3,8.6,244.4,366,10,Human modified,Omnivore,2
Tachybaptus ruficollis,23.9,4.4,100,169.4,0,Wetland,Aquatic predator,1
Calidris alpina,36.9,2.9,115.1,51.9,0,Wetland,Aquatic predator,3
Actitis hypoleucos,30.1,3.1,109.9,48,0,Wetland,Aquatic predator,3
Turdus obscurus,22,4.4,119.8,62.6,4,Forest,Invertivore,3
Turdus hortulorum,23.3,4.9,115.8,66.7,2,Forest,Invertivore,3
Pica pica,40.8,12.4,194.5,217.5,7,Human modified,Omnivore,1
Spilopelia chinensis,19.9,3.5,138.8,159,10,Woodland,Granivore,1
Buteo buteo,35.9,12.6,382.9,759.1,,Grassland,Vertivore,2
Milvus migrans,40,13,457.4,734.1,,Woodland,Omnivore,3
Falco tinnunculus,20.8,10.6,241,183.2,,Shrubland,Vertivore,3
Hierococcyx sparverioides,30.3,7.8,235,151,,Woodland,Invertivore,3
Bubulcus ibis,63.3,8.6,244.4,366,,Human modified,Omnivore,2
Tachybaptus ruficollis,23.9,4.4,100,169.4,,Wetland,Aquatic predator,1
Calidris alpina,36.9,2.9,115.1,51.9,,Wetland,Aquatic predator,3
Actitis hypoleucos,30.1,3.1,109.9,48,,Wetland,Aquatic predator,3
